filename,distance(pixels),distance(mm),error,ratio
data2/moth22_2022_02_02a_maybe_Standing.cine,31.4,5.5,0.02,
data2/moth22_2022-01-26.cine,26.2,5.5,0.02,
data2/moth22_2022-01-31_Cine1.cine,38.6,5.5,0.02,
data2/moth22_2022-02-01_Cine1.cine,37.5,5.5,0.02,
data2/moth22_2022-02-01b_Cine1.cine,44.2,5.5,0.02,
data2/moth22_2022-02-08_Cine1.cine,31.1,5.5,0.02,
data2/moth22_2022-02-09_okay.cine,30.3,5.5,0.02,
data2/moth22_manual_2022-01-28_Cine1_Cine1.cine,38.8,5.5,0.02,
data2/moth23_2022-02-09_meh.cine,31.1,5.5,0.02,
data2/moth23_2022-02-14_Cine1.cine,30.1,5.5,0.02,
data2/moth25_2022-02-15_nodrink.cine,30.4,5.5,0.02,
data2/moth26_2022-02-15_freeflight.cine,30.1,5.5,0.02,
data2/moth26_2022-02-17_hover-feeding_Cine1.cine,31,5.5,0.02,
data2/moth26_2022-02-21_Cine1.cine,30,5.5,0.02,
data2/moth26_2022-02-22_Cine1.cine,29.9,5.5,0.02,
data2/moth26_2022-02-25_Cine1.cine,30.2,5.5,0.02,
data2/moth26_2022-02-25_Cine2.cine,29.9,5.5,0.02,
data2/mothDelta1_2022-09-16_Cine1.cine,,5.5,0.02,
data2/mothDelta2_2022-09-16_Cine1.cine,,5.5,0.02,
data2/mothDelta3_2022-09-16_Cine1.cine,,5.5,0.02,
data2/mothDelta4_2022-09-19_Cine1.cine,,5.5,0.02,
data2/mothM1_2022-09-21_Cine1.cine,,5.5,0.02,
data2/mothM1_2022-09-22_Cine1.cine,27.1,5.5,0.02,
data2/mothM1_2022-09-23_Cine1.cine,27.4,5.5,0.02,
data2/mothM1_2022-09-26_Cine1.cine,27.9,5.5,0.02,
data2/mothM1_2022-09-27_Cine1.cine,27.8,5.5,0.02,
data2/mothM3_2022-09-19_Cine1.cine,,5.5,0.02,
data2/mothM3_2022-09-21_Cine1.cine,27.7,5.5,0.02,
data2/mothM3_2022-09-22_Cine1.cine,27.6,5.5,0.02,
data2/mothM3_2022-09-22_Cine2.cine,27.9,5.5,0.02,
data2/mothM3_2022-09-23_Cine1.cine,27.3,5.5,0.02,
data2/mothM4_2022-09-19_Cine1.cine,,5.5,0.02,
data2/mothM4_2022-09-22_Cine1.cine,27.3,5.5,0.02,
data2/mothM4_2022-09-23_Cine1.cine,27.9,5.5,0.02,
data2/mothM5_2022-09-21_Cine1.cine,,5.5,0.02,
data2/mothM5_2022-09-23_Cine1.cine,27.1,5.5,0.02,
data2/mothM5_2022-09-26_Cine1.cine,27.6,5.5,0.02,
data2/mothM5_2022-09-26_Cine2.cine,27.5,5.5,0.02,
data2/mothM5_2022-09-27_Cine1.cine,28.4,5.5,0.02,
data2/mothM6_2022-09-22_Cine1.cine,26.7,5.5,0.02,
data2/mothM6_2022-09-22_Cine2.cine,27.9,5.5,0.02,
data2/mothM6_2022-09-23_Cine1.cine,27.6,5.5,0.02,
data2/mothM6_2022-09-26_Cine1.cine,27.1,5.5,0.02,
data2/mothM6_2022-09-27_Cine1.cine,27.4,5.5,0.02,
data2/mothM8_2022-09-20_Cine2.cine,,5.5,0.02,
data2/mothM8_2022-09-23_Cine1.cine,26.9,5.5,0.02,
data2/mothM9_2022-09-20_Cine1.cine,,5.5,0.02,
data2/unsuitableVideos/deadMothTest_2022-01-28_Cine1.cine,38.6,5.5,0.02,
data2/unsuitableVideos/moth22_2022_02_04_Cine1.cine,30.8,5.5,0.02,
data2/unsuitableVideos/moth22_2022_02_09_bad_Cine1.cine,,5.5,0.02,
data2/unsuitableVideos/moth22_2022-02-04_Cine1.cine,31.5,5.5,0.02,
data2/unsuitableVideos/moth22_2022-02-07_Cine1.cine,31.2,5.5,0.02,
data2/unsuitableVideos/moth22_2022-02-11.cine,30.2,5.5,0.02,
data2/unsuitableVideos/moth22_manual2_2022-01-28_Cine1.cine,38.1,5.5,0.02,
data2/unsuitableVideos/moth23_2022-02-11_a.cine,33.4,5.5,0.02,
data2/unsuitableVideos/moth23_2022-02-15_Cine1.cine,31.3,5.5,0.02,
data2/unsuitableVideos/moth26_2022-02-16_wideflower_hover.cine,,5.5,0.02,
data2/unsuitableVideos/moth26_2022-02-23_Cine1.cine,30.2,5.5,0.02,
data2/unsuitableVideos/mothM8_2022-09-20_Cine1.cine,,5.5,0.02,
